time_s,bytes_cum,bytes_delta,inst_bps,ema_bps,chunk_size
0.448,6945,6945,15506.676,15506.676,131072
0.737,322361,315416,1091153.011,230635.943,131072
1.006,693297,370936,1379234.954,460355.745,131072
1.279,1087153,393856,1440718.018,656428.200,131072
1.563,1521305,434152,1531059.037,831354.367,131072
1.837,1928441,407136,1482761.283,961635.751,131072
2.102,2348361,419920,1586582.511,1086625.103,131072
2.369,2752353,403992,1513147.792,1171929.641,131072
2.633,3212377,460024,1740423.347,1285628.382,131072
2.916,3716185,503808,1780440.976,1384590.901,131072
3.266,4213433,497248,1420290.600,1391730.841,131072
3.527,4654737,441304,1693000.066,1451984.686,131072
3.784,5051529,396792,1546390.306,1470865.810,131072
4.070,5509345,457816,1596659.200,1496024.488,131072
4.342,5928865,419520,1546478.970,1506115.384,131072
4.605,6370905,442040,1681765.679,1541245.443,131072
4.859,6835713,464808,1826856.450,1598367.645,131072
5.121,7262873,427160,1630195.638,1604733.243,131072
5.389,7599761,336888,1257992.495,1535385.094,131072
5.698,7943433,343672,1111385.989,1450585.273,131072
5.972,8358761,415328,1515468.191,1463561.856,131072
6.247,8754313,395552,1439032.864,1458656.058,131072
6.512,9152513,398200,1502949.472,1467514.741,131072
6.804,9605737,453224,1553982.074,1484808.207,131072
7.054,9877713,271976,1085602.956,1404967.157,131072
7.310,10041585,163872,641015.160,1252176.758,131072
7.567,10131361,89776,348769.269,1071495.260,131072
7.819,10265777,134416,533852.295,963966.667,131072
8.071,10473089,207312,822093.159,935591.965,131072
8.336,10674361,201272,760523.168,900578.206,131072
8.587,10836289,161928,645692.790,849601.122,131072
8.926,11112857,276568,814475.907,842576.079,131072
9.217,11395465,282608,971046.388,868270.141,131072
9.485,11682169,286704,1069750.330,908566.179,131072
9.752,11972721,290552,1089687.141,944790.371,131072
10.027,12194513,221792,806735.502,917179.398,131072
10.284,12422097,227584,883514.960,910446.510,131072
10.541,12598505,176408,687547.574,865866.723,131072
10.824,12795433,196928,695814.646,831856.307,131072
11.100,12986817,191384,694177.094,804320.465,131072
11.384,13186641,199824,703402.539,784136.880,131072
11.657,13419769,233128,853237.062,797956.916,131072
11.930,13629729,209960,767757.688,791917.070,131072
12.193,13901953,272224,1037209.763,840975.609,131072
12.462,14174177,272224,1011379.055,875056.298,131072
12.733,14398617,224440,826971.565,865439.351,131072
13.011,14730209,331592,1195073.842,931366.249,131072
13.287,15062177,331968,1204044.674,985901.934,131072
13.537,15332513,270336,1079467.023,1004614.952,131072
13.799,15557793,225280,858959.191,975483.800,131072
14.055,15822377,264584,1035989.296,987584.899,131072
14.329,16150057,327680,1194371.495,1028942.218,131072
14.585,16428585,278528,1086150.574,1040383.889,131072
14.852,16764649,336064,1261249.630,1084557.038,131072
15.119,17103233,338584,1269178.204,1121481.271,131072
15.404,17427585,324352,1138187.417,1124822.500,131072
15.791,17724673,297088,766646.263,1053187.253,131072
16.070,17952009,227336,814530.966,1005455.996,131072
16.344,18161969,209960,766242.696,957613.336,131072
16.623,18390753,228784,819798.662,930050.401,131072
16.897,18542793,152040,555617.478,855163.816,131072
17.160,18733929,191136,726344.111,829399.875,131072
17.434,18954529,220600,804625.246,824444.949,131072
17.690,19158193,203664,796673.798,818890.719,131072
17.983,19408585,250392,855721.556,826256.886,131072
18.258,19674825,266240,966027.571,854211.023,131072
18.526,19920585,245760,918873.931,867143.605,131072
18.796,20207305,286720,1060582.129,905831.310,131072
19.072,20510409,303104,1100094.184,944683.884,131072
19.339,20805321,294912,1102740.248,976295.157,131072
19.601,21141193,335872,1280944.599,1037225.046,131072
19.902,21477065,335872,1114780.890,1052736.215,131072
20.201,21796553,319488,1071386.893,1056466.350,131072
20.563,22135281,338728,935474.962,1032268.073,131072
20.865,22284177,148896,492185.803,924251.619,131072
21.199,22427529,143352,429340.676,825269.430,131072
21.529,22566785,139256,421656.942,744546.932,131072
21.804,22715929,149144,542702.765,704178.099,131072
22.079,22887913,171984,625916.443,688525.768,131072
22.342,23080425,192512,732836.330,697387.880,131072
22.609,23255249,174824,652823.578,688475.020,131072
22.879,23443665,188416,698656.794,690511.375,131072
23.158,23701713,258048,925524.555,737514.011,131072
23.439,23959761,258048,917813.691,773573.947,131072
23.710,24144081,184320,681193.523,755097.862,131072
23.966,24316113,172032,671024.655,738283.221,131072
