time_s,bytes_cum,bytes_delta,inst_bps,ema_bps,chunk_size
0.422,11993,11993,28422.388,28422.388,32768
0.704,308793,296800,1052030.493,233144.009,32768
0.973,533481,224688,836066.104,353728.428,32768
1.246,799913,266432,976966.312,478376.005,32768
1.534,1010825,210912,729917.762,528684.356,32768
1.801,1224177,213352,801941.029,583335.691,32768
2.074,1419161,194984,712829.907,609234.534,32768
2.331,1642905,223744,870148.911,661417.410,32768
2.602,1913241,270336,998946.867,728923.301,32768
2.877,2179481,266240,967711.920,776681.025,32768
3.146,2453913,274432,1019729.692,825290.758,32768
3.431,2769305,315392,1106670.049,881566.616,32768
3.699,3088793,319488,1192447.771,943742.847,32768
3.985,3363225,274432,958736.181,946741.514,32768
4.246,3670425,307200,1176685.990,992730.409,32768
4.505,3961241,290816,1122396.207,1018663.569,32768
4.767,4231577,270336,1035145.458,1021959.947,32768
5.025,4485529,253952,982636.168,1014095.191,32768
5.291,4723097,237568,893468.490,989969.851,32768
5.570,4870553,147456,528289.476,897633.776,32768
5.831,5079449,208896,801643.074,878435.635,32768
6.146,5308825,229376,726154.228,847979.354,32768
6.432,5546393,237568,832872.025,844957.888,32768
6.708,5796249,249856,904938.961,856954.103,32768
6.982,6042009,245760,897237.861,865010.854,32768
7.251,6328729,286720,1064040.213,904816.726,32768
7.513,6607257,278528,1064445.403,936742.462,32768
7.796,6906265,299008,1054557.985,960305.566,32768
8.068,7258521,352256,1295498.912,1027344.235,32768
8.332,7586201,327680,1241430.312,1070161.451,32768
8.612,7971225,385024,1378646.561,1131858.473,32768
8.887,8352153,380928,1381142.715,1181715.321,32768
9.141,8647065,294912,1162771.992,1177926.655,32768
9.403,8950169,303104,1157000.313,1173741.387,32768
9.671,9281945,331776,1238626.899,1186718.489,32768
9.932,9626009,344064,1318967.946,1213168.381,32768
10.201,9970073,344064,1276936.398,1225921.984,32768
10.451,10264985,294912,1179096.183,1216556.824,32768
10.728,10662297,397312,1436875.929,1260620.645,32768
11.012,11075993,413696,1454675.877,1299431.691,32768
11.285,11497881,421888,1545982.658,1348741.885,32768
11.560,11919769,421888,1531680.809,1385329.669,32768
11.828,12399001,479232,1793596.032,1466982.942,32768
12.107,12857753,458752,1643496.600,1502285.674,32768
12.367,13353369,495616,1906397.226,1583107.984,32768
12.640,13847841,494472,1806842.199,1627854.827,32768
12.920,14379009,531168,1897084.806,1681700.823,32768
13.182,14926601,547592,2094810.296,1764322.717,32768
13.473,15497697,571096,1964318.697,1804321.913,32768
13.735,16095593,597896,2273904.875,1898238.506,32768
13.998,16687369,591776,2254804.800,1969551.765,32768
14.300,17262225,574856,1903868.637,1956415.139,32768
14.557,17699521,437296,1700803.621,1905292.835,32768
14.814,18191841,492320,1918503.355,1907934.939,32768
15.082,18730497,538656,2009050.604,1928158.072,32768
15.333,19116865,386368,1539636.777,1850453.813,32768
15.593,19486353,369488,1416725.108,1763708.072,32768
15.867,19761473,275120,1007204.411,1612407.340,32768
16.154,20055417,293944,1024612.464,1494848.365,32768
16.423,20269473,214056,794703.167,1354819.325,32768
16.694,20517329,247856,914359.243,1266727.309,32768
17.019,20790753,273424,840190.135,1181419.874,32768
17.284,21061529,270776,1022988.297,1149733.559,32768
17.553,21380561,319032,1184260.639,1156638.975,32768
17.827,21683665,303104,1107792.934,1146869.766,32768
18.092,22003153,319488,1203769.919,1158249.797,32768
18.377,22371793,368640,1295261.600,1185652.158,32768
18.629,22683089,311296,1236452.666,1195812.259,32768
18.886,22928849,245760,954194.324,1147488.672,32768
19.159,23236049,307200,1126102.184,1143211.374,32768
19.420,23560329,324280,1245404.814,1163650.062,32768
19.681,23885881,325552,1244480.531,1179816.156,32768
19.975,24168505,282624,961534.732,1136159.871,32768
20.274,24489609,321104,1072971.871,1123522.271,32768
20.548,24778793,289184,1055859.596,1109989.736,32768
20.883,25010601,231808,692140.623,1026419.914,32768
21.158,25288489,277888,1010211.612,1023178.253,32768
21.547,25537097,248608,639429.624,946428.528,32768
21.820,25768977,231880,849789.110,927100.644,32768
22.093,25971745,202768,742031.328,890086.781,32768
22.358,26192929,221184,836581.372,879385.699,32768
22.622,26348577,155648,588814.982,821271.556,32768
22.900,26541089,192512,693324.940,795682.232,32768
23.175,26762273,221184,803011.001,797147.986,32768
23.453,26942497,180224,647501.917,767218.772,32768
23.722,27163681,221184,822410.141,778257.046,32768
24.002,27401249,237568,847916.899,792189.017,32768
24.276,27679777,278528,1017405.938,837232.401,32768
24.536,27958305,278528,1071168.841,884019.689,32768
24.792,28236833,278528,1087828.327,924781.416,32768
25.057,28535841,299008,1128992.430,965623.619,32768
25.344,28773409,237568,829402.509,938379.397,32768
25.667,29023265,249856,772294.623,905162.442,32768
25.956,29248545,225280,780167.780,880163.510,32768
26.232,29441057,192512,698128.226,843756.453,32768
26.512,29645857,204800,730462.274,821097.617,32768
26.788,29903905,258048,936033.639,844084.822,32768
27.061,30157857,253952,930335.816,861335.020,32768
27.328,30436385,278528,1040981.003,897264.217,32768
27.593,30751777,315392,1193228.916,956457.157,32768
27.871,31075361,323584,1160552.602,997276.246,32768
28.147,31419425,344064,1248724.288,1047565.854,32768
28.415,31775777,356352,1328522.569,1103757.197,32768
28.689,32119841,344064,1256211.431,1134248.044,32768
28.962,32545825,425984,1557559.658,1218910.367,32768
29.241,32930849,385024,1382629.439,1251654.181,32768
29.502,33375697,444848,1704216.945,1342166.734,32768
29.766,33833137,457440,1731421.492,1420017.686,32768
30.042,34326657,493520,1792018.777,1494417.904,32768
30.310,34699041,372384,1385856.732,1472705.670,32768
30.591,35057897,358856,1278760.494,1433916.635,32768
30.932,35415553,357656,1047211.110,1356575.530,32768
31.196,35767505,351952,1333240.903,1351908.604,32768
31.473,36104305,336800,1218858.579,1325298.599,32768
31.756,36441417,337112,1190737.655,1298386.410,32768
32.030,36792849,351432,1280383.104,1294785.749,32768
32.295,37162049,369200,1396731.527,1315174.905,32768
32.562,37551105,389056,1453632.980,1342866.520,32768
32.831,37952697,401592,1494313.607,1373155.937,32768
33.111,38362481,409784,1465921.538,1391709.057,32768
33.380,38792537,430056,1598941.713,1433155.588,32768
33.656,39106753,314216,1138530.182,1374230.507,32768
33.908,39253537,146784,582288.333,1215842.072,32768
34.168,39379265,125728,483076.307,1069288.919,32768
34.423,39563409,184144,721543.931,999739.922,32768
34.719,39800345,236936,800684.787,959928.895,32768
35.031,39968313,167968,537776.211,875498.358,32768
35.307,40168137,199824,724198.367,845238.360,32768
35.566,40343345,175208,677299.107,811650.509,32768
35.944,40588057,244712,646829.935,778686.395,32768
36.220,40779729,191672,694771.381,761903.392,32768
36.539,40925977,146248,458780.552,701278.824,32768
36.791,41048809,122832,488111.346,658645.328,32768
37.048,41179377,130568,506479.366,628212.136,32768
37.319,41264809,85432,315226.295,565614.968,32768
37.580,41402369,137560,527180.291,557928.032,32768
37.845,41599297,196928,743910.547,595124.535,32768
38.127,41775705,176408,624699.218,601039.472,32768
38.452,42017233,241528,744245.553,629680.688,32768
38.722,42221401,204168,755486.088,654841.768,32768
38.988,42429913,208512,785164.299,680906.274,32768
39.290,42612361,182448,603757.201,665476.460,32768
39.554,42786121,173760,657895.484,663960.265,32768
39.811,42968569,182448,709580.314,673084.275,32768
40.106,43165497,196928,668077.719,672082.963,32768
40.490,43350841,185344,482037.131,634073.797,32768
40.799,43457993,107152,347661.320,576791.302,32768
41.187,43502881,44888,115624.238,484557.889,32768
41.515,43622569,119688,364263.978,460499.107,32768
41.792,43749337,126768,457892.513,459977.788,32768
42.065,43904985,155648,570496.538,482081.538,32768
42.333,44117977,212992,796277.617,544920.754,32768
42.599,44318681,200704,754593.265,586855.256,32768
42.872,44584921,266240,973008.373,664085.879,32768
43.150,44871641,286720,1030759.945,737420.692,32768
43.426,45215705,344064,1248283.929,839593.340,32768
43.694,45596633,380928,1421313.736,955937.419,32768
43.969,46034905,438272,1594837.970,1083717.529,32768
