time_s,bytes_cum,bytes_delta,inst_bps,ema_bps,chunk_size
0.450,14185,14185,31487.341,31487.341,65536
0.708,228489,214304,830821.789,191354.231,65536
0.976,484537,256048,957173.399,344518.064,65536
1.261,823121,338584,1186695.762,512953.604,65536
1.534,1143625,320504,1173759.676,645114.818,65536
1.793,1466905,323280,1250093.773,766110.609,65536
2.058,1842185,375280,1417244.628,896337.413,65536
2.315,2124809,282624,1099460.859,936962.102,65536
2.603,2415625,290816,1009059.874,951381.656,65536
2.906,2694153,278528,917867.216,944678.768,65536
3.162,2931721,237568,931211.224,941985.259,65536
3.444,3111945,180224,637562.952,881100.798,65536
3.709,3300361,188416,712314.432,847343.525,65536
4.015,3501065,200704,656020.841,809078.988,65536
4.274,3685385,184320,710255.352,789314.261,65536
4.544,3939337,253952,940031.671,819457.743,65536
4.801,4172809,233472,909773.188,837520.832,65536
5.081,4467721,294912,1053584.130,880733.492,65536
5.346,4746249,278528,1051644.724,914915.738,65536
5.625,5045257,299008,1070956.299,946123.850,65536
5.892,5340169,294912,1104627.448,977824.570,65536
6.170,5708809,368640,1324285.391,1047116.734,65536
6.436,6040585,331776,1249334.901,1087560.367,65536
6.710,6433801,393216,1434313.870,1156911.068,65536
6.967,6814729,380928,1479559.000,1221440.654,65536
7.230,7248905,434176,1653181.942,1307788.912,65536
7.491,7625737,376832,1442041.586,1334639.447,65536
7.749,8064009,438272,1704350.396,1408581.637,65536
8.040,8399881,335872,1154022.442,1357669.798,65536
8.375,8735753,335872,1000166.460,1286169.130,65536
8.626,8969225,233472,933139.995,1215563.303,65536
8.897,9280521,311296,1148677.196,1202186.082,65536
9.175,9541777,261256,936856.766,1149120.219,65536
9.446,9880529,338752,1253917.660,1170079.707,65536
9.700,10176873,296344,1165287.836,1169121.333,65536
9.981,10565761,388888,1383865.741,1212070.214,65536
10.252,10900249,334488,1232972.300,1216250.631,65536
10.550,11259105,358856,1205420.590,1214084.623,65536
10.811,11498273,239168,916844.284,1154636.555,65536
11.086,11716921,218648,795954.555,1082900.155,65536
11.356,11951497,234576,867033.500,1039726.824,65536
11.619,12181729,230232,875393.863,1006860.232,65536
11.876,12448161,266432,1035785.915,1012645.369,65536
12.143,12737113,288952,1082873.036,1026690.902,65536
12.412,13042681,305568,1135728.574,1048498.436,65536
12.729,13321209,278528,878634.729,1014525.695,65536
13.034,13535817,214608,703248.421,952270.240,65536
13.390,13740617,204800,575746.671,876965.527,65536
13.640,13862857,122240,488762.540,799324.929,65536
13.918,14046721,183864,662027.844,771865.512,65536
14.199,14224609,177888,631986.426,743889.695,65536
14.492,14338673,114064,389814.064,673074.569,65536
14.774,14547569,208896,739936.284,686446.912,65536
15.049,14686833,139264,507312.766,650620.083,65536
15.327,14891633,204800,735835.173,667663.101,65536
15.582,15018609,126976,497237.071,633577.895,65536
15.933,15133297,114688,327320.135,572326.343,65536
16.202,15252081,118784,441560.286,546173.131,65536
16.539,15391345,139264,412503.295,519439.164,65536
16.798,15501937,110592,427351.550,501021.641,65536
17.111,15645297,143360,458056.341,492428.581,65536
17.374,15792753,147456,560141.008,505971.067,65536
17.628,15948401,155648,614806.096,527738.072,65536
17.901,16054897,106496,389677.869,500126.032,65536
18.217,16165489,110592,350309.140,470162.653,65536
18.498,16280177,114688,408205.977,457771.318,65536
18.886,16374385,94208,242452.068,414707.468,65536
19.158,16493169,118784,436651.461,419096.267,65536
19.483,16632433,139264,428661.703,421009.354,65536
19.748,16783985,151552,571279.944,451063.472,65536
20.019,16935537,151552,560215.848,472893.947,65536
20.288,17136241,200704,747059.929,527727.144,65536
20.569,17332849,196608,699321.941,562046.103,65536
20.850,17562225,229376,815149.290,612666.741,65536
21.120,17799793,237568,879036.955,665940.783,65536
21.395,18041457,241664,878689.993,708490.625,65536
21.665,18287217,245760,911886.584,749169.817,65536
21.935,18610801,323584,1196464.708,838628.795,65536
22.201,18893425,282624,1062439.125,883390.861,65536
22.461,19233393,339968,1310571.448,968826.978,65536
22.738,19470961,237568,857654.260,946592.435,65536
23.021,19753585,282624,997342.059,956742.359,65536
23.295,20052593,299008,1092740.886,983942.065,65536
23.575,20359793,307200,1096495.533,1006452.758,65536
23.850,20654705,294912,1073862.258,1019934.658,65536
24.125,21015153,360448,1308768.745,1077701.476,65536
24.548,21146225,131072,309719.008,924104.982,65536
24.815,21342833,196608,736048.591,886493.704,65536
25.100,21658225,315392,1107342.633,930663.490,65536
25.363,21899889,241664,918705.106,928271.813,65536
25.644,22239857,339968,1209270.858,984471.622,65536
25.922,22559345,319488,1148699.835,1017317.265,65536
26.196,22878833,319488,1166464.156,1047146.643,65536
26.464,23206513,327680,1225044.320,1082726.178,65536
26.740,23575153,368640,1333271.126,1132835.168,65536
26.992,23923313,348160,1384023.072,1183072.749,65536
27.360,24369777,446464,1211543.289,1188766.857,65536
27.651,24758897,389120,1340564.407,1219126.367,65536
28.018,25086577,327680,891741.863,1153649.466,65536
28.315,25381489,294912,991851.276,1121289.828,65536
28.588,25606769,225280,827273.285,1062486.519,65536
28.871,25934449,327680,1154930.908,1080975.397,65536
29.150,26094193,159744,574089.634,979598.244,65536
29.421,26372721,278528,1027549.958,989188.587,65536
29.682,26581617,208896,798429.865,951036.843,65536
29.946,26835569,253952,962840.233,953397.521,65536
30.229,27142769,307200,1085691.526,979856.322,65536
30.500,27404913,262144,966465.836,977178.225,65536
30.775,27691633,286720,1043276.394,990397.859,65536
31.050,28023409,331776,1208465.553,1034011.397,65536
31.321,28351089,327680,1206816.036,1068572.325,65536
31.600,28703345,352256,1263046.175,1107467.095,65536
31.866,29055601,352256,1324292.582,1150832.193,65536
32.137,29473393,417792,1540040.341,1228673.822,65536
32.389,29809265,335872,1333947.077,1249728.473,65536
32.672,30104177,294912,1043152.719,1208413.322,65536
33.036,30333553,229376,629912.264,1092713.111,65536
33.336,30493297,159744,532782.087,980726.906,65536
33.608,30607985,114688,420796.339,868740.793,65536
33.892,30784113,176128,620392.268,819071.088,65536
34.170,30960241,176128,633569.910,781970.852,65536
34.439,31148657,188416,701225.254,765821.732,65536
34.699,31357553,208896,804473.405,773552.067,65536
34.954,31562353,204800,800654.285,778972.510,65536
35.246,31836785,274432,942263.235,811630.655,65536
35.526,32093177,256392,916284.899,832561.504,65536
35.795,32358161,264984,984939.917,863037.187,65536
