time_s,bytes_cum,bytes_delta,inst_bps,ema_bps,chunk_size
0.453,14185,14185,31345.219,31345.219,16384
0.703,239081,224896,899244.445,204925.064,16384
0.979,612665,373584,1351842.109,434308.473,16384
1.253,1010865,398200,1454028.667,638252.512,16384
1.522,1388793,377928,1404796.846,791561.379,16384
1.787,1814505,425712,1608319.352,954912.973,16384
2.059,2259473,444968,1634363.326,1090803.044,16384
2.330,2719713,460240,1696101.406,1211862.716,16384
2.594,3186657,466944,1770664.944,1323623.162,16384
2.875,3686369,499712,1778214.917,1414541.513,16384
3.151,4210657,524288,1898150.646,1511263.339,16384
3.485,4751329,540672,1620922.040,1533195.079,16384
3.752,5210081,458752,1716364.638,1569828.991,16384
4.013,5648353,438272,1676809.275,1591225.048,16384
4.272,6107105,458752,1775375.275,1628055.093,16384
4.537,6586337,479232,1804448.089,1663333.693,16384
4.818,7057377,471040,1678589.819,1666384.918,16384
5.085,7385057,327680,1225658.331,1578239.601,16384
5.383,7790561,405504,1361407.712,1534873.223,16384
5.655,8163297,372736,1373007.591,1502500.096,16384
5.944,8593377,430080,1486757.529,1499351.583,16384
6.218,8843233,249856,911494.995,1381780.265,16384
6.492,9207777,364544,1332037.388,1371831.690,16384
6.751,9519073,311296,1199284.966,1337322.345,16384
7.021,9875425,356352,1318677.415,1333593.359,16384
7.292,10178529,303104,1120354.251,1290945.537,16384
7.573,10567649,389120,1385381.505,1309832.731,16384
7.841,10932193,364544,1360567.271,1319979.639,16384
8.114,11345889,413696,1515820.267,1359147.765,16384
8.380,11767777,421888,1587097.609,1404737.734,16384
8.749,12210145,442368,1196235.156,1363037.218,16384
9.005,12582881,372736,1458902.989,1382210.372,16384
9.279,12951521,368640,1346929.291,1375154.156,16384
9.535,13316065,364544,1422858.378,1384695.000,16384
9.812,13733857,417792,1504563.474,1408668.695,16384
10.102,14057441,323584,1119327.374,1350800.431,16384
10.403,14458849,401408,1330907.642,1346821.873,16384
10.676,14782433,323584,1184755.153,1314408.529,16384
10.964,15114209,331776,1152350.106,1281996.844,16384
11.233,15454177,339968,1262909.356,1278179.347,16384
11.508,15831009,376832,1369982.837,1296540.045,16384
11.776,16216033,385024,1438992.394,1325030.515,16384
12.039,16601057,385024,1464764.342,1352977.280,16384
12.315,17010657,409600,1482707.955,1378923.415,16384
12.589,17465313,454656,1658779.375,1434894.607,16384
12.870,17919969,454656,1618300.417,1471575.769,16384
13.135,18366433,446464,1687324.994,1514725.614,16384
13.410,18853857,487424,1768581.253,1565496.742,16384
13.812,19222497,368640,918036.412,1436004.676,16384
14.075,19562465,339968,1293443.337,1407492.408,16384
14.332,19840993,278528,1080685.532,1342131.033,16384
14.622,20140001,299008,1033962.870,1280497.400,16384
14.899,20365281,225280,812327.708,1186863.462,16384
15.204,20672481,307200,1005570.244,1150604.818,16384
15.485,20930529,258048,918849.032,1104253.661,16384
15.761,21213153,282624,1023889.450,1088180.819,16384
16.032,21487585,274432,1014717.981,1073488.251,16384
16.294,21794785,307200,1172741.099,1093338.821,16384
16.582,22122465,327680,1136491.727,1101969.402,16384
16.848,22446049,323584,1215404.702,1124656.462,16384
17.114,22794209,348160,1310290.348,1161783.239,16384
17.393,23187425,393216,1411324.376,1211691.467,16384
17.660,23588833,401408,1501037.318,1269560.637,16384
17.933,23973857,385024,1413177.925,1298284.095,16384
18.204,24403937,430080,1586430.355,1355913.347,16384
18.492,24866785,462848,1606105.622,1405951.802,16384
18.763,25309153,442368,1630216.314,1450804.704,16384
19.022,25788385,479232,1853669.669,1531377.697,16384
19.290,26304481,516096,1922365.769,1609575.311,16384
19.540,26738657,434176,1736370.617,1634934.372,16384
19.803,27062241,323584,1230120.745,1553971.647,16384
20.091,27471841,409600,1423676.053,1527912.528,16384
20.360,27918305,446464,1661503.743,1554630.771,16384
20.613,28299233,380928,1506297.395,1544964.096,16384
20.884,28762081,462848,1703573.600,1576685.997,16384
