time_s,bytes_cum,bytes_delta,inst_bps,ema_bps,chunk_size
33.452,29302385,486816,1782085.359,1734085.086,8192
33.717,29780225,477840,1809836.840,1749235.437,8192
33.988,30311641,531416,1958908.397,1791170.029,8192
34.252,30834369,522728,1975951.908,1828126.405,8192
34.519,31396193,561824,2109717.919,1884444.708,8192
34.771,31835433,439240,1741818.028,1855919.372,8192
35.025,32005801,170368,669719.494,1618679.396,8192
35.301,32422825,417024,1510867.293,1597116.976,8192
35.578,32734145,311320,1125640.205,1502821.621,8192
35.879,32965825,231680,769037.989,1356064.895,8192
36.132,33214633,248808,984460.428,1281744.002,8192
36.403,33446561,231928,855509.086,1196497.018,8192
36.679,33692721,246160,891246.946,1135447.004,8192
36.962,33970241,277520,980365.489,1104430.701,8192
37.217,34247017,276776,1086532.464,1100851.053,8192
37.485,34573153,326136,1214178.521,1123516.547,8192
37.759,34897457,324304,1185356.730,1135884.584,8192
38.032,35230921,333464,1220636.586,1152834.984,8192
38.315,35624353,393432,1393154.058,1200898.799,8192
38.660,36002905,378552,1097672.153,1180253.470,8192
38.920,36340873,337968,1298335.399,1203869.856,8192
39.192,36659601,318728,1172126.364,1197521.157,8192
39.450,36994625,335024,1298330.273,1217682.980,8192
39.711,37345033,350408,1340605.493,1242267.483,8192
40.015,37674473,329440,1085788.640,1210971.714,8192
40.319,38013305,338832,1112765.213,1191330.414,8192
40.594,38315569,302264,1098022.235,1172668.778,8192
40.879,38588001,272432,955674.404,1129269.904,8192
41.149,38901145,313144,1162331.641,1135882.251,8192
41.422,39245209,344064,1258943.606,1160494.522,8192
41.700,39617945,372736,1339934.940,1196382.606,8192
41.970,39966105,348160,1292204.683,1215547.021,8192
42.233,40355225,389120,1475569.227,1267551.462,8192
42.506,40793497,438272,1609488.177,1335938.805,8192
42.763,41219481,425984,1655144.974,1399780.039,8192
43.028,41649497,430016,1625189.961,1444862.023,8192
43.288,42116441,466944,1792659.274,1514421.474,8192
43.544,42577329,460888,1803859.867,1572309.152,8192
43.829,43109809,532480,1868749.544,1631597.231,8192
44.105,43628737,518928,1875712.300,1680420.245,8192
44.368,44140633,511896,1951340.752,1734604.346,8192
44.635,44717793,577160,2161517.601,1819986.997,8192
44.894,45293193,575400,2216479.219,1899285.441,8192
45.176,45880537,587344,2084843.546,1936397.062,8192
45.441,46409513,528976,1994183.055,1947954.261,8192
45.731,47053177,643664,2218762.119,2002115.832,8192
46.004,47688097,634920,2331657.878,2068024.241,8192
46.276,48363609,675512,2479118.705,2150243.134,8192
46.556,49025593,661984,2363736.408,2192941.789,8192
46.834,49746697,721104,2600129.303,2274379.292,8192
47.124,50256393,509696,1754094.468,2170322.327,8192
47.403,50789257,532864,1908667.886,2117991.439,8192
47.696,51378329,589072,2011145.643,2096622.280,8192
47.968,51996825,618496,2273690.928,2132036.009,8192
48.247,52623513,626688,2249307.913,2155490.390,8192
48.521,53266585,643072,2347981.564,2193988.625,8192
48.784,53950617,684032,2595694.688,2274329.837,8192
49.045,54601881,651264,2500908.180,2319645.506,8192
49.314,55330969,729088,2703351.677,2396386.740,8192
49.577,56031385,700416,2670815.411,2451272.474,8192
49.857,56727633,696248,2482402.966,2457498.573,8192
50.127,57347721,620088,2295262.067,2425051.272,8192
50.390,58080905,733184,2790857.724,2498212.562,8192
50.648,58805897,724992,2805907.255,2559751.501,8192
50.909,59481601,675704,2589799.233,2565761.047,8192
51.189,60217185,735584,2633383.262,2579285.490,8192
51.469,61028769,811584,2892487.581,2641925.908,8192
51.824,61847633,818864,2309915.159,2575523.759,8192
52.086,62506225,658592,2506350.628,2561689.132,8192
52.339,63078185,571960,2260895.551,2501530.416,8192
52.602,63676457,598272,2275486.316,2456321.596,8192
52.872,64362313,685856,2542968.883,2473651.054,8192
53.156,65088961,726648,2556256.981,2490172.239,8192
53.425,65780401,691440,2574416.973,2507021.186,8192
53.726,66398697,618296,2053500.289,2416317.007,8192
53.978,66951833,553136,2192361.123,2371525.830,8192
54.256,67368857,417024,1500063.668,2197233.398,8192
54.519,67787329,418472,1592476.160,2076281.950,8192
54.779,68233313,445984,1713121.716,2003649.903,8192
55.050,68535945,302632,1120201.659,1826960.254,8192
55.308,68938489,402544,1555854.281,1772739.060,8192
55.580,69173065,234576,862642.014,1590719.651,8192
55.831,69398953,225888,899646.813,1452505.083,8192
56.102,69561129,162176,599051.718,1281814.410,8192
56.380,69747921,186792,671409.387,1159733.406,8192
56.652,69983657,235736,867739.451,1101334.615,8192
56.926,70122953,139296,507270.971,982521.886,8192
57.194,70335561,212608,794183.182,944854.145,8192
57.456,70513913,178352,682412.810,892365.878,8192
57.735,70731817,217904,780881.057,870068.914,8192
58.007,70971481,239664,878942.265,871843.584,8192
58.279,71189881,218400,802304.347,857935.737,8192
58.557,71471041,281160,1012913.604,888931.310,8192
58.818,71750505,279464,1069784.997,925102.048,8192
59.094,72040105,289600,1051317.051,950345.048,8192
59.363,72372897,332792,1235883.829,1007452.804,8192
59.620,72704041,331144,1287982.360,1063558.715,8192
59.882,73068185,364144,1391410.141,1129129.001,8192
60.146,73466137,397952,1504762.884,1204255.777,8192
60.458,73811009,344872,1105517.007,1184508.023,8192
60.738,74201681,390672,1398205.859,1227247.590,8192
61.008,74516185,314504,1164551.862,1214708.445,8192
61.288,74870873,354688,1264185.590,1224603.874,8192
61.557,75214457,343584,1279346.088,1235552.317,8192
61.841,75581793,367336,1294923.502,1247426.554,8192
62.137,75939569,357776,1205277.841,1238996.811,8192
62.414,76210649,271080,979338.091,1187065.067,8192
62.696,76531801,321152,1138452.147,1177342.483,8192
62.975,76821993,290192,1040995.250,1150073.037,8192
63.250,77174145,352152,1282483.448,1176555.119,8192
63.530,77503169,329024,1175250.249,1176294.145,8192
63.792,77864961,361792,1380818.036,1217198.923,8192
64.059,78134489,269528,1008757.501,1175510.639,8192
64.334,78437081,302592,1100277.731,1160464.057,8192
64.598,78771489,334408,1266709.445,1181713.135,8192
64.858,79106097,334608,1283677.014,1202105.911,8192
65.119,79481513,375416,1439124.265,1249509.581,8192
65.417,79828897,347384,1165101.165,1232627.898,8192
65.703,80222753,393856,1379588.151,1262019.949,8192
66.040,80533745,310992,924032.200,1194422.399,8192
66.308,80845145,311400,1158954.693,1187328.858,8192
66.698,81053657,208512,534427.724,1056748.631,8192
66.967,81273753,220096,818277.400,1009054.385,8192
67.229,81454753,181000,690912.214,945425.951,8192
67.497,81649033,194280,726491.667,901639.094,8192
67.777,81819897,170864,610097.836,843330.842,8192
68.049,82064033,244136,897561.793,854177.033,8192
68.325,82305697,241664,876337.184,858609.063,8192
68.606,82592313,286616,1019536.589,890794.568,8192
68.870,82866745,274432,1038486.499,920332.954,8192
69.148,83153465,286720,1031205.549,942507.473,8192
69.414,83509553,356088,1338844.802,1021774.939,8192
69.672,83829041,319488,1238158.094,1065051.570,8192
69.933,84196273,367232,1409570.967,1133955.449,8192
70.215,84566505,370232,1310668.493,1169298.058,8192
70.479,84988121,421616,1595971.159,1254632.678,8192
70.834,85333377,345256,971950.051,1198096.153,8192
71.106,85614697,281320,1035701.742,1165617.271,8192
71.377,85848233,233536,862972.899,1105088.396,8192
71.660,86123353,275120,972130.057,1078496.729,8192
71.933,86394425,271072,991105.092,1061018.401,8192
72.196,86656569,262144,996493.661,1048113.453,8192
72.460,86984249,327680,1243629.662,1087216.695,8192
72.732,87303737,319488,1172140.100,1104201.376,8192
73.022,87655993,352256,1216225.921,1126606.285,8192
73.286,87983673,327680,1242860.323,1149857.093,8192
73.560,88364601,380928,1388553.026,1197596.279,8192
73.813,88700473,335872,1327683.258,1223613.675,8192
74.067,89028153,327680,1289604.024,1236811.745,8192
74.350,89433657,405504,1431112.971,1275671.990,8192
74.619,89888313,454656,1689544.804,1358446.553,8192
74.874,90334777,446464,1755932.798,1437943.802,8192
75.144,90834489,499712,1851243.882,1520603.818,8192
75.404,91313721,479232,1839394.576,1584361.970,8192
75.666,91818009,504288,1925143.244,1652518.224,8192
75.955,92372921,554912,1921904.282,1706395.436,8192
76.236,92917121,544200,1936756.811,1752467.711,8192
76.517,93505217,588096,2093089.554,1820592.080,8192
76.788,94074329,569112,2097865.906,1876046.845,8192
